Here’s the list in lowercase and inline:

date, year, territorial authority, territorial_authority_grouped, region, gmp, venues, gaming machines, dep_very_low (1-2), dep_medium_low (3-4), dep_medium (5-6), dep_medium_high (7-8), dep_high (9-10)
1/03/2023,2023,Ashburton District,Ashburton District,Canterbury,1729151.43,12,138,0,5,3,4,0
1/03/2023,2023,Auckland Council - Albert - Eden,Auckland City,Auckland,4699367.06,11,157,1,9,1,0,0
1/03/2023,2023,Auckland Council - Devonport - Takapuna,Auckland City,Auckland,1221098.26,7,110,3,3,1,0,0
1/03/2023,2023,Auckland Council - Franklin,Auckland City,Auckland,2802251.2,14,193,2,1,6,0,5
1/03/2023,2023,Auckland Council - Henderson - Massey,Auckland City,Auckland,5635716.74,11,185,0,0,0,6,5
1/03/2023,2023,Auckland Council - Hibiscus And Bays,Auckland City,Auckland,3002883.28,13,192,1,7,3,1,1
1/03/2023,2023,Auckland Council - Howick,Auckland City,Auckland,8170225.85,18,297,5,3,9,0,1
1/03/2023,2023,Auckland Council - Kaipatiki,Auckland City,Auckland,5147654.16,14,211,5,1,8,0,0
1/03/2023,2023,Auckland Council - Mangere - Otahuhu,Auckland City,Auckland,6343284.8,11,198,0,0,0,2,9
1/03/2023,2023,Auckland Council - Manurewa,Auckland City,Auckland,5301366.73,11,162,0,0,1,0,10
1/03/2023,2023,Auckland Council - Maungakiekie - Tamaki,Auckland City,Auckland,5247104.39,15,232,0,0,4,10,1
1/03/2023,2023,Auckland Council - Orakei,Auckland City,Auckland,1237946.39,6,69,3,2,0,1,0
1/03/2023,2023,Auckland Council - Otara - Papatoetoe,Auckland City,Auckland,7763414.51,17,254,0,0,0,7,10
1/03/2023,2023,Auckland Council - Papakura,Auckland City,Auckland,4011056.19,11,180,0,2,1,0,8
1/03/2023,2023,Auckland Council - Puketapapa,Auckland City,Auckland,1005440.3,2,27,0,1,1,0,0
1/03/2023,2023,Auckland Council - Rodney,Auckland City,Auckland,1467299.14,9,128,2,0,5,2,0
1/03/2023,2023,Auckland Council - Upper Harbour,Auckland City,Auckland,2463221.64,11,133,2,1,4,4,0
1/03/2023,2023,Auckland Council - Waiheke,Auckland City,Auckland,165141.77,2,18,0,0,2,0,0
1/03/2023,2023,Auckland Council - Waitakere Ranges,Auckland City,Auckland,1742867.55,7,82,1,0,1,5,0
1/03/2023,2023,Auckland Council - Waitemata,Auckland City,Auckland,3670469.18,16,212,1,6,4,5,0
1/03/2023,2023,Auckland Council - Whau,Auckland City,Auckland,3120155.35,10,142,0,0,1,8,1
1/03/2023,2023,Buller District,Buller District,West Coast,593617.78,8,72,0,0,0,0,8
1/03/2023,2023,Carterton District,Carterton District,Wellington,369034.32,2,27,0,0,2,0,0
1/03/2023,2023,Central Hawke'S Bay District,Central Hawke's Bay District,Hawke's Bay,579886.19,2,36,0,0,0,2,0
1/03/2023,2023,Central Otago District,Central Otago District,Otago,1194213.4,10,112,1,9,0,0,0
1/03/2023,2023,Chatham Islands District,Chatham Islands District,Canterbury,5745.86,1,2,0,0,0,1,0
1/03/2023,2023,Christchurch City Including Banks Peninsula Ward,Christchurch City,Canterbury,22251031.94,79,1279,6,15,24,26,8
1/03/2023,2023,Clutha District,Clutha District,Otago,530877.25,9,69,0,1,5,3,0
1/03/2023,2023,Dunedin City,Dunedin City,Otago,4903777.88,27,384,0,1,4,14,8
1/03/2023,2023,Far North District,Far North District,Northland,4396744.33,19,275,0,0,1,2,16
1/03/2023,2023,Gisborne District,Gisborne District,Gisborne,2943399.48,11,159,0,0,0,0,11
1/03/2023,2023,Gore District,Gore District,Southland,904336.25,6,76,0,1,0,4,1
1/03/2023,2023,Grey District,Grey District,West Coast,1085193.54,8,81,1,0,1,4,2
1/03/2023,2023,Hamilton City,Hamilton City,Waikato,6673176.5,24,376,0,1,3,5,15
1/03/2023,2023,Hastings District,Hastings District,Hawke's Bay,5208798.75,17,273,2,0,2,6,7
